gene_id	gene_name	SRR2219873	SRR2219887	SRR2219889	SRR2219891	SRR2219895	SRR2219907
ENSG00000000003.16	TSPAN6	138	91	57	173	218	501
ENSG00000000005.6	TNMD	0	0	2	0	0	0
ENSG00000000419.14	DPM1	316.001	274.999	152.001	150.999	662.001	335
ENSG00000000457.14	SCYL3	44	287	86.999	91	179	151
ENSG00000000460.17	FIRRM	51	281	57	110	226.001	147
ENSG00000000938.13	FGR	18	131.001	609	136.999	149.001	22
ENSG00000000971.17	CFH	281.593	1204.71	1292.624	106.931	1411.814	387.977
ENSG00000001036.14	FUCA2	248	329	469	173	627	311
ENSG00000001084.13	GCLC	269	257.001	243	755	412	882
ENSG00000001167.15	NFYA	170.999	251.902	230.985	198.862	400	379.988
ENSG00000001460.18	STPG1	54	34	36	54	141	72.999
ENSG00000001461.19	NIPAL3	85.01	186.126	132	153.19	470.16	320.999
ENSG00000001497.18	LAS1L	174	228.999	176.999	214.999	624.001	269.081
ENSG00000001561.7	ENPP4	12	65	75	32	26	147
ENSG00000001617.12	SEMA3F	250	350.999	147	304	865.999	331
ENSG00000001626.18	CFTR	0	1	0	2	0	147
ENSG00000001629.10	ANKIB1	238	319	293	309	1610	492.999
ENSG00000001630.18	CYP51A1	217.879	156	189.346	139	1048.407	541
ENSG00000001631.17	KRIT1	161.312	266	182.296	316.005	750.664	373.315
ENSG00000002016.18	RAD52	14	59.206	60	128	76	133
ENSG00000002330.14	BAD	360	72.999	73	86	219	93
ENSG00000002549.13	LAP3	309	1611.999	1345.999	156.001	1381.914	609
ENSG00000002586.20	CD99	409.316	12.641	926.481	269.48	840.621	9.092
ENSG00000002587.10	HS3ST1	104	76	25	39	140	190
ENSG00000002726.21	AOC1	10	16	2	12	9	6
ENSG00000002745.13	WNT16	0	0	2	1	0	1
ENSG00000002746.15	HECW1	3	3	3	1	44	1
ENSG00000002822.16	MAD1L1	189	63	106.956	107.475	207	93
ENSG00000002834.19	LASP1	863	1095	1271	811	1011.001	1264
ENSG00000002919.15	SNX11	63	133	121.001	91	183.999	174.999
ENSG00000002933.9	TMEM176A	10	206	575	82	104	14
ENSG00000003056.8	M6PR	537	806	1477	359	1409.001	951
ENSG00000003096.15	KLHL13	56	67	22	49.34	197.309	152.441
ENSG00000003137.9	CYP26B1	220	26	46	13	346	32
