"sample","condition"
"CMT_F_A_R1","CMT_F_A"
"CMT_F_A_R2","CMT_F_A"
"CMT_F_A_R3","CMT_F_A"
"CMT_F_A_R4","CMT_F_A"
"CMT_F_A_R5","CMT_F_A"
"CMT_F_R1","CMT_F"
"CMT_F_R2","CMT_F"
"CMT_F_R3","CMT_F"
"CMT_F_R4","CMT_F"
"CMT_F_R5","CMT_F"
"CMT_M_A_R1","CMT_M_A"
"CMT_M_A_R2","CMT_M_A"
"CMT_M_A_R3","CMT_M_A"
"CMT_M_A_R4","CMT_M_A"
"CMT_M_A_R5","CMT_M_A"
"CMT_M_R1","CMT_M"
"CMT_M_R2","CMT_M"
"CMT_M_R3","CMT_M"
"CMT_M_R4","CMT_M"
"CMT_M_R5","CMT_M"
"CMT_O_A_R1","CMT_O_A"
"CMT_O_A_R2","CMT_O_A"
"CMT_O_A_R3","CMT_O_A"
"CMT_O_A_R4","CMT_O_A"
"CMT_O_A_R5","CMT_O_A"
"CMT_O_R1","CMT_O"
"CMT_O_R2","CMT_O"
"CMT_O_R3","CMT_O"
"CMT_O_R4","CMT_O"
"CMT_O_R5","CMT_O"
"LLC_F_A_R1","LLC_F_A"
"LLC_F_A_R2","LLC_F_A"
"LLC_F_A_R3","LLC_F_A"
"LLC_F_A_R4","LLC_F_A"
"LLC_F_A_R5","LLC_F_A"
"LLC_F_R1","LLC_F"
"LLC_F_R2","LLC_F"
"LLC_F_R3","LLC_F"
"LLC_F_R4","LLC_F"
"LLC_F_R5","LLC_F"
"LLC_M_A_R1","LLC_M_A"
"LLC_M_A_R2","LLC_M_A"
"LLC_M_A_R3","LLC_M_A"
"LLC_M_A_R4","LLC_M_A"
"LLC_M_A_R5","LLC_M_A"
"LLC_M_R1","LLC_M"
"LLC_M_R2","LLC_M"
"LLC_M_R3","LLC_M"
"LLC_M_R4","LLC_M"
"LLC_M_R5","LLC_M"
"LLC_O_A_R1","LLC_O_A"
"LLC_O_A_R2","LLC_O_A"
"LLC_O_A_R3","LLC_O_A"
"LLC_O_A_R4","LLC_O_A"
"LLC_O_A_R5","LLC_O_A"
"LLC_O_R1","LLC_O"
"LLC_O_R2","LLC_O"
"LLC_O_R3","LLC_O"
"LLC_O_R4","LLC_O"
"LLC_O_R5","LLC_O"
